id,primary_category,discrete_boolean_logic_calculus,discrete_computable_definition_sequence,discrete_counting_dp,discrete_graph_grid_walk,discrete_mcq_option_mapping,discrete_named_sequence,discrete_number_theory,discrete_numeric_root_mistag,discrete_set_family_extremal,discrete_xlist_ylist_sequence,linear_algebra_column_dependence_multi_part,linear_algebra_combinatorial_matrix_determinant,linear_algebra_determinant_or_matrix_property,linear_algebra_freeform_multi_answer,linear_algebra_linear_programming_word_problem,linear_algebra_matrix_transformation_or_mapping,linear_algebra_mcq_option_mapping,linear_algebra_mistag_xlist_ylist_sequence,linear_algebra_rank_parameter_condition,linear_algebra_system_word_multi_answer,linear_algebra_vector_projection
741,discrete_algorithm,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
742,linear_algebra,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
747,linear_algebra,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
753,linear_algebra,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
757,discrete_algorithm,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
762,linear_algebra,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
772,discrete_algorithm,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
784,discrete_algorithm,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
791,discrete_algorithm,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
792,linear_algebra,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
799,discrete_algorithm,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
800,discrete_algorithm,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
807,linear_algebra,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
817,discrete_algorithm,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
826,linear_algebra,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
834,linear_algebra,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
891,discrete_algorithm,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
919,linear_algebra,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
929,linear_algebra,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
948,discrete_algorithm,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
957,linear_algebra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
959,discrete_algorithm,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
970,discrete_algorithm,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
979,discrete_algorithm,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1026,discrete_algorithm,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1045,discrete_algorithm,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1053,discrete_algorithm,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1062,discrete_algorithm,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1087,discrete_algorithm,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1102,linear_algebra,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1
1110,discrete_algorithm,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
